title,links,date,rating,quality,genre,short_description
Những Kẻ Theo Dõi,https://ohitv.net/phim-le/nhung-ke-theo-doi/,06/06/2024,0,,"['Phim Bí Ẩn', 'Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Kinh Dị']","Mina, một họa sĩ 28 tuổi, quyết định đi dạo trong khu rừng hoang sơ ở phía tây Ireland để tìm cảm hứng cho các tác phẩm nghệ thuật của mình. Tuy ..."
Furiosa: Câu Chuyện Từ Max Điên,https://ohitv.net/phim-le/furiosa-cau-chuyen-tu-max-dien/,22/05/2024,7.9, CAM,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Khoa Học Viễn Tưởng', 'Phim Phiêu Lưu']","Câu chuyện bắt đầu từ lúc thế giới sụp đổ, đẩy Furiosa vào một cuộc hành trình đầy nguy hiểm và khắc nghiệt để tự cứu lấy mình và tìm đường trở ..."
Hành Tinh Khỉ: Vương Quốc Mới,https://ohitv.net/phim-le/hanh-tinh-khi-vuong-quoc-moi/,08/05/2024,0, CAM,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Khoa Học Viễn Tưởng', 'Phim Phiêu Lưu']","“Hành Tinh Khỉ: Vương Quốc Mới” là một bộ phim mang đậm tinh thần hành động và khoa học viễn tưởng, lấy bối cảnh nhiều năm sau sự ..."
Những Người Bạn Tưởng Tượng,https://ohitv.net/phim-le/nhung-nguoi-ban-tuong-tuong/,08/05/2024,6.9,,"['Phim Chiếu Rạp', 'Phim Gia Đình', 'Phim Giả Tượng', 'Phim Hài']","Những Người Bạn Tưởng Tượng kể về câu chuyện của Mia, một cô bé mười tuổi nhạy cảm và giàu lòng nhân ái. Một ngày nọ, Mia bất ngờ phát hiện ra ..."
Vây Hãm: Kẻ Trừng Phạt,https://ohitv.net/phim-le/vay-ham-ke-trung-phat/,24/04/2024,6.9, CAM,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Hành Động', 'Phim Hình Sự']","“Vây Hãm: Kẻ Trừng Phạt” là phần thứ tư trong loạt phim hành động tội phạm nổi tiếng của Hàn Quốc, được đạo diễn bởi Heo Myung-haeng ..."
Ngày Tàn Của Đế Quốc,https://ohitv.net/phim-le/ngay-tan-cua-de-quoc/,10/04/2024,7.6, 1080p,"['Phim Chiến Tranh', 'Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Hành Động']","Trong một tương lai u ám của Hoa Kỳ, một nhóm nhà báo cùng với quân đội bắt đầu cuộc hành trình xuyên qua đất nước Mỹ. Mục tiêu của họ là đến ..."
Gia Tài Của Ngoại,https://ohitv.net/phim-le/gia-tai-cua-ngoai/,04/04/2024,8.4,,"['Phim Chiếu Rạp', 'Phim Chính Kịch']","Gia Tài Của Ngoại xoay quanh câu chuyện về M (do Billkin Putthipong thủ vai), một chàng trai trẻ thất nghiệp, luôn khao khát làm giàu nhanh ..."
Anh Hùng Bàn Phím,https://ohitv.net/phim-le/anh-hung-ban-phim/,27/03/2024,7.9,,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Hình Sự']","Im Sang-jin, một phóng viên mảng xã hội, bị đình chỉ công tác sau khi bài phóng sự điều tra về tập đoàn Manjun bị đánh giá là sai lệch. Tưởng ..."
Godzilla x Kong: Đế Chế Mới,https://ohitv.net/phim-le/godzilla-x-kong-de-che-moi/,27/03/2024,0, 1080p,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Khoa Học Viễn Tưởng', 'Phim Phiêu Lưu']","“Godzilla x Kong: Đế Chế Mới” là một bộ phim ra mắt vào năm 2024, mang lại cuộc gặp gỡ giữa hai quái vật huyền thoại là Kong và ..."
Nắm Đấm Trời Ban,https://ohitv.net/phim-le/nam-dam-troi-ban/,20/03/2024,0, 1080p,"['Phim Chiếu Rạp', 'Phim Hài', 'Phim Hành Động']",“Nắm Đấm Trời Ban Holy Punch 2024” là một bộ phim hài hành động của Hàn Quốc được đạo diễn bởi Koh Hoon. Câu chuyện xoay quanh hai ...
Tu Viện Máu,https://ohitv.net/phim-le/tu-vien-mau/,20/03/2024,6.3, 1080p,"['Phim Bí Ẩn', 'Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Kinh Dị']","Với lòng tin mạnh mẽ, Cecilia đã đến với một tu viện cổ kính, nằm giữa một vùng quê yên bình ở nước Ý, được chào đón nồng nhiệt bởi cư dân địa ..."
Cô Ấy Rực Rỡ,https://ohitv.net/phim-le/co-ay-ruc-ro/,15/03/2024,0,,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Gia Đình']","Một người phụ nữ lương thiện và tử tế đột ngột gặp lại cháu gái đã mất tích cách đây 12 năm trong một tai nạn khó lường. Ban đầu, họ chỉ là những ..."
Thanh Xuân 18×2: Lữ Trình Hướng Về Em,https://ohitv.net/phim-le/thanh-xuan-18x2-lu-trinh-huong-ve-em/,14/03/2024,7.1,,"['Phim Chiếu Rạp', 'Phim Lãng Mạn']","Câu chuyện bắt đầu 18 năm trước tại Đài Loan. Trong lúc làm thêm, cậu học sinh cấp ba Jimmy (Hứa Quang Hán) gặp Ami (Kiyohara), một du khách ba ..."
Hào Quang Đẫm Máu,https://ohitv.net/phim-le/hao-quang-dam-mau/,14/03/2024,0, 1080p,"['Phim Chiếu Rạp', 'Phim Gây Cấn']",Câu chuyện kể về Lee Soo-yeon (do Ji-yeon thủ vai) – một nữ minh tinh màn bạc đang ở đỉnh cao sự nghiệp nhưng bất chợt tuột dốc không phanh ...
